		V;NFIN
arded	earder	V;IMP;2;PL
ardeian	earder	V;SBJV;PRS;1;PL
ardeias	earder	V;SBJV;PRS;2;PL
ardel	urdar	V;IND;PRS;1;SG
ardess	earder	V;COND;1;SG
ardessan	earder	V;COND;1;PL
ardessas	earder	V;COND;2;PL
ardeva	earder	V;IND;PST;1;SG;IPFV
ardevan	earder	V;IND;PST;3;PL;IPFV
ardevas	earder	V;IND;PST;2;PL;IPFV
ardez	earder	V;IND;PRS;2;PL
ardi	urdar	V;SBJV;PRS;3;SG
ardian	urdar	V;SBJV;PRS;3;PL
ardias	urdar	V;SBJV;PRS;2;SG
ardànd	earder	V.PTCP;PRS
areschess	riescher	V;COND;1;SG
arescheva	riescher	V;IND;PST;3;SG;IPFV
arfugl	urfagliear	V;IND;PRS;1;SG
arfugli	urfagliear	V;SBJV;PRS;3;SG
arfuglia	urfagliear	V;IND;PRS;3;SG
arfuglian	urfagliear	V;SBJV;PRS;3;PL
arfuglias	urfagliear	V;SBJV;PRS;2;SG
arfugliel	urfagliear	V;IND;PRS;1;SG
arged	rer	V;IMP;2;PL
argeian	rer	V;SBJV;PRS;1;PL
argeias	rer	V;SBJV;PRS;2;PL
argess	rer	V;COND;1;SG
argessan	rer	V;COND;1;PL
argessas	rer	V;COND;2;PL
argeva	rer	V;IND;PST;1;SG;IPFV
argevan	rer	V;IND;PST;1;PL;IPFV
argevas	rer	V;IND;PST;2;PL;IPFV
argez	rer	V;IND;PRS;2;PL
argiagn	rer	V;IND;PRS;1;PL
argiànd	rer	V.PTCP;PRS
argrez	rer	V;IND;PRS;2;PL
argugl	urgagliear	V;IND;PRS;1;SG
argugli	urgagliear	V;SBJV;PRS;3;SG
arguglia	urgagliear	V;IMP;2;SG
argugliagn	urgagliear	V;IND;PRS;1;PL
arguglian	urgagliear	V;SBJV;PRS;3;PL
arguglias	urgagliear	V;IND;PRS;2;SG
argugliead	urgagliear	V;IMP;2;PL
arguglieada	urgagliear	V.PTCP;PST;FEM;SG
arguglieadas	urgagliear	V.PTCP;PST;FEM;PL
argugliear	urgagliear	V;IND;FUT;1;PL
arguglieava	urgagliear	V;IND;PST;1;SG;IPFV
arguglieavan	urgagliear	V;IND;PST;1;PL;IPFV
arguglieavas	urgagliear	V;IND;PST;2;SG;IPFV
arguglieaz	urgagliear	V;IND;PRS;2;PL
arguglieian	urgagliear	V;SBJV;PRS;1;PL
arguglieias	urgagliear	V;SBJV;PRS;2;PL
argugliel	urgagliear	V;IND;PRS;1;SG
argugliess	urgagliear	V;COND;3;SG
argugliessan	urgagliear	V;COND;1;PL
argugliessas	urgagliear	V;COND;2;SG
arguglieu	urgagliear	V.PTCP;PST;MASC;SG
arguglieus	urgagliear	V.PTCP;PST;MASC;PL
argugliànd	urgagliear	V.PTCP;PRS
arnagn	earner	V;IND;PRS;1;PL
arned	earner	V;IMP;2;PL
arneian	earner	V;SBJV;PRS;1;PL
arneias	earner	V;SBJV;PRS;2;PL
arness	earner	V;COND;3;SG
arnessan	earner	V;COND;3;PL
arnessas	earner	V;COND;2;PL
arneva	earner	V;IND;PST;1;SG;IPFV
arnevan	earner	V;IND;PST;1;PL;IPFV
arnevas	earner	V;IND;PST;2;PL;IPFV
arnez	earner	V;IND;PRS;2;PL
arnida	earner	V.PTCP;PST;FEM;SG
arnidas	earner	V.PTCP;PST;FEM;PL
